ticker,top_feature,top_shap_value,justification
ITC.NS,rsi,0.00590505211567457,Primary driver is rsi contributing a bullish signal (0.0059). Secondary factor is macd diff (bearish).
JSWSTEEL.NS,rsi,0.007083075421514909,Primary driver is rsi contributing a bullish signal (0.0071). Secondary factor is macd diff (bearish).
KOTAKBANK.NS,rsi,0.0058308992127127784,Primary driver is rsi contributing a bullish signal (0.0058). Secondary factor is cci (bullish).
LT.NS,rsi,0.006923562160191259,Primary driver is rsi contributing a bullish signal (0.0069). Secondary factor is macd diff (bearish).
LTIM.NS,rsi,0.007333957965914527,Primary driver is rsi contributing a bullish signal (0.0073). Secondary factor is macd diff (bearish).
M&M.NS,rsi,0.007300541807496402,Primary driver is rsi contributing a bullish signal (0.0073). Secondary factor is atr (bearish).
MARUTI.NS,rsi,0.0069040322235922255,Primary driver is rsi contributing a bullish signal (0.0069). Secondary factor is macd diff (bearish).
NESTLEIND.NS,rsi,0.0067417740735003645,Primary driver is rsi contributing a bullish signal (0.0067). Secondary factor is macd diff (bearish).
NTPC.NS,rsi,0.007149122895057291,Primary driver is rsi contributing a bullish signal (0.0071). Secondary factor is macd diff (bearish).
ONGC.NS,rsi,0.006983175762718226,Primary driver is rsi contributing a bullish signal (0.0070). Secondary factor is macd diff (bearish).
POWERGRID.NS,rsi,0.007203141308431109,Primary driver is rsi contributing a bullish signal (0.0072). Secondary factor is macd diff (bearish).
RELIANCE.NS,rsi,0.007622098143906741,Primary driver is rsi contributing a bullish signal (0.0076). Secondary factor is macd diff (bearish).
SBILIFE.NS,rsi,0.006605130704511756,Primary driver is rsi contributing a bullish signal (0.0066). Secondary factor is atr (bearish).
SBIN.NS,rsi,0.007126325527805465,Primary driver is rsi contributing a bullish signal (0.0071). Secondary factor is macd diff (bearish).
SHRIRAMFIN.NS,mom_6m,0.020416822625810453,Primary driver is mom 6m contributing a bullish signal (0.0204). Secondary factor is vol 12m (bullish).
SUNPHARMA.NS,rsi,0.008428806813412583,Primary driver is rsi contributing a bullish signal (0.0084). Secondary factor is macd diff (bearish).
TATACONSUM.NS,rsi,0.0068307939840667065,Primary driver is rsi contributing a bullish signal (0.0068). Secondary factor is macd diff (bearish).
TATASTEEL.NS,macd_diff,-0.005814380392684479,Primary driver is macd diff contributing a bearish signal (-0.0058). Secondary factor is rsi (bullish).
TCS.NS,rsi,0.007529227349535164,Primary driver is rsi contributing a bullish signal (0.0075). Secondary factor is atr (bearish).
TECHM.NS,rsi,0.007354693790634801,Primary driver is rsi contributing a bullish signal (0.0074). Secondary factor is atr (bearish).
TITAN.NS,rsi,0.008573723208132744,Primary driver is rsi contributing a bullish signal (0.0086). Secondary factor is macd diff (bearish).
ULTRACEMCO.NS,rsi,0.006706712487662303,Primary driver is rsi contributing a bullish signal (0.0067). Secondary factor is atr (bearish).
WIPRO.NS,rsi,0.005902816184663762,Primary driver is rsi contributing a bullish signal (0.0059). Secondary factor is atr (bearish).
^NSEI,rsi,0.006967768331119215,Primary driver is rsi contributing a bullish signal (0.0070). Secondary factor is atr (bearish).
